Upload Animal Image,Select Model,output,flag,username,timestamp
D:\MLDamnMe\flagged\Upload Animal Image\d879ceb2ec389fc3c4a4a023e56c09bb1f966219\tmpjxqhdqe7.jpg,custom_transformer,D:\MLDamnMe\flagged\output\tmp7jyv5zzk.json,,,2025-12-31 03:19:51.654815
D:\MLDamnMe\flagged\Upload Animal Image\e8b067d24944cd31197de62bb57ee25df01b3ed7\tmp9av9app1.jpg,custom_cnn,D:\MLDamnMe\flagged\output\tmph1jjhhi8.json,,,2025-12-31 11:37:09.237135
